Dates	Active	Deaths	Newcases	recover
Feb 15, 2020	NA	0	0	0
Feb 16, 2020	NA	0	0	0
Feb 17, 2020	NA	0	0	0
Feb 18, 2020	NA	0	0	0
Feb 19, 2020	NA	0	0	0
Feb 20, 2020	NA	0	0	0
Feb 21, 2020	NA	0	0	0
Feb 22, 2020	NA	0	0	0
Feb 23, 2020	NA	0	0	0
Feb 24, 2020	NA	0	0	0
Feb 25, 2020	NA	0	0	0
Feb 26, 2020	NA	0	0	0
Feb 27, 2020	NA	0	0	0
Feb 28, 2020	NA	0	0	0
Feb 29, 2020	NA	0	0	0
Mar 01, 2020	NA	0	3	0
Mar 02, 2020	NA	0	1	0
Mar 03, 2020	NA	0	22	0
Mar 04, 2020	NA	0	1	0
Mar 05, 2020	NA	0	1	0
Mar 06, 2020	NA	0	3	0
Mar 07, 2020	NA	1	6	0
Mar 08, 2020	NA	1	7	1
Mar 09, 2020	NA	0	15	0
Mar 10, 2020	NA	0	0	0
Mar 11, 2020	NA	0	12	0
Mar 12, 2020	NA	1	8	6
Mar 13, 2020	NA	0	18	0
Mar 14, 2020	NA	1	14	3
Mar 15, 2020	NA	1	15	0
Mar 16, 2020	NA	0	14	1
Mar 17, 2020	NA	3	26	0
Mar 18, 2020	NA	3	25	6
Mar 19, 2020	NA	0	55	3
Mar 20, 2020	NA	2	83	0
Mar 21, 2020	NA	8	64	1
Mar 22, 2020	NA	0	103	10
Mar 23, 2020	NA	4	37	6
Mar 24, 2020	NA	3	121	3
Mar 25, 2020	NA	5	70	2
Mar 26, 2020	NA	3	160	28
Mar 27, 2020	NA	23	100	11
Mar 28, 2020	NA	14	37	11
Mar 29, 2020	NA	14	227	7
Mar 30, 2020	NA	13	146	21
Mar 31, 2020	NA	19	601	25
Apr 01, 2020	NA	18	545	43
Apr 02, 2020	NA	24	516	1
Apr 03, 2020	NA	18	529	37
Apr 04, 2020	NA	49	701	99
Apr 05, 2020	NA	22	489	47
Apr 06, 2020	NA	39	573	93
Apr 07, 2020	NA	43	565	38
Apr 08, 2020	NA	27	809	129
Apr 09, 2020	NA	35	875	139
Apr 10, 2020	NA	29	846	195
Apr 11, 2020	NA	26	759	111
Apr 12, 2020	NA	38	1248	101
Apr 13, 2020	NA	36	1034	178
Apr 14, 2020	NA	38	883	149
Apr 15, 2020	NA	33	1060	260
Apr 16, 2020	NA	53	922	273
Apr 17, 2020	NA	36	2013	422
Apr 18, 2020	NA	40	1250	391
Apr 19, 2020	NA	59	924	419
Apr 20, 2020	NA	45	1541	702
Apr 21, 2020	NA	56	1290	395
Apr 22, 2020	NA	58	1669	642
Apr 23, 2020	NA	70	1408	484
Apr 24, 2020	NA	72	1836	443
Apr 25, 2020	NA	76	1607	584
Apr 26, 2020	NA	71	1561	614
Apr 27, 2020	NA	103	1873	610
Apr 28, 2020	NA	69	1738	690
Apr 29, 2020	NA	177	1801	631
Apr 30, 2020	NA	129	2394	939
May 01, 2020	NA	93	2442	812
May 02, 2020	NA	107	2806	956
May 03, 2020	NA	97	3932	1072
May 04, 2020	NA	118	2963	1295
May 05, 2020	NA	114	3587	1189
May 06, 2020	NA	83	3364	1445
May 07, 2020	NA	123	3344	1111
May 08, 2020	NA	139	3113	1414
May 09, 2020	NA	100	4353	1668
May 10, 2020	NA	106	3607	1580
May 11, 2020	NA	121	3524	1871
May 12, 2020	NA	156	3763	1980
May 13, 2020	NA	134	3942	1569
May 14, 2020	NA	148	3787	2289
May 15, 2020	NA	134	4864	3966
May 16, 2020	NA	152	5050	2571
May 17, 2020	NA	145	4630	2438
May 18, 2020	NA	144	6147	3076
May 19, 2020	NA	158	5553	3113
May 20, 2020	NA	151	6198	3131
May 21, 2020	NA	175	6568	3271
May 22, 2020	NA	195	6629	2561
May 23, 2020	NA	179	7113	3307
May 24, 2020	NA	275	6414	3014
May 25, 2020	NA	215	5843	3571
May 26, 2020	NA	230	7293	3472
May 27, 2020	NA	206	7300	3171
May 28, 2020	NA	228	8105	11707
May 29, 2020	NA	266	8336	4309
May 30, 2020	NA	283	8782	4916
May 31, 2020	NA	293	7761	3902
Jun 01, 2020	NA	304	8821	4531
Jun 02, 2020	NA	268	9633	3786
Jun 03, 2020	NA	273	9889	4379
Jun 04, 2020	NA	253	9471	4783
Jun 05, 2020	NA	397	10438	5462
Jun 06, 2020	NA	402	10864	5153
Jun 07, 2020	NA	398	8442	5247
Jun 08, 2020	NA	316	8852	5070
Jun 09, 2020	NA	330	12375	6814
Jun 10, 2020	NA	404	11128	5993
Jun 11, 2020	NA	2048	11320	7259
Jun 12, 2020	NA	349	12023	8095
Jun 13, 2020	NA	354	11157	7363
Jun 14, 2020	NA	378	10243	10631
Jun 15, 2020	NA	314	11135	7232
Jun 16, 2020	NA	435	13103	6886
Jun 17, 2020	NA	320	13827	10744
Jun 18, 2020	NA	478	14721	9024
Jun 19, 2020	NA	433	15915	13975
Jun 20, 2020	NA	410	15183	9071
Jun 21, 2020	NA	389	13540	10885
Jun 22, 2020	NA	423	15665	10437
Jun 23, 2020	NA	395	16870	13114
Jun 24, 2020	NA	426	18185	13983
Jun 25, 2020	NA	520	18276	10246
Jun 26, 2020	NA	450	20131	14229
Jun 27, 2020	NA	389	19620	11628
Jun 28, 2020	NA	456	18339	13497
Jun 29, 2020	NA	627	18256	12565
Jun 30, 2020	NA	430	19428	12060
Jul 01, 2020	NA	488	21948	20006
Jul 02, 2020	NA	489	22721	14417
