Name	Totalcases	Activecases	Totaldeaths	Totalrecovered	Totaltests	DeathsPer1M	TestsPer1M	Newcases	Newdeaths	Newrecovered	
France	40,138,560  	0           	167,642     	39,970,918  	271,490,188 	2,556       	4,139,547   	N/A	N/A	N/A	
UK	24,910,387  	0           	232,112     	24,678,275  	522,526,476 	3,389       	7,628,357   	N/A	N/A	1,661       	
Russia	24,104,261  	177,280     	402,687     	23,524,294  	273,400,000 	2,762       	1,875,095   	N/A	N/A	N/A	
Italy	26,722,745  	168,976     	196,466     	26,357,303  	281,030,509 	3,260       	4,663,418   	N/A	N/A	N/A	
Germany	38,827,570  	404,018     	182,952     	38,240,600  	122,332,384 	2,181       	1,458,359   	N/A	N/A	N/A	
Spain	13,914,811  	30,634      	121,760     	13,762,417  	471,036,328 	2,606       	10,082,298  	N/A	N/A	N/A	
Poland	6,661,991   	N/A         	120,598     	N/A         	39,323,709  	3,196       	1,041,970   	N/A	N/A	N/A         	
Netherlands	8,635,591   	530         	22,992      	8,612,069   	25,984,435  	1,336       	1,509,718   	N/A	N/A	N/A	
Ukraine	5,557,995   	0           	112,418     	5,445,577   	32,603,805  	2,603       	754,855     	N/A	N/A	N/A	
Belgium	4,861,523   	655         	34,376      	4,826,492   	37,454,182  	2,946       	3,209,915   	N/A	N/A	41          	
USA	111,798,371 	801,672     	1,219,224   	109,777,475 	1,186,851,502	3,642       	3,544,901   	749         	1           	8,880       	
Mexico	7,702,809   	467,986     	334,958     	6,899,865   	20,013,810  	2,546       	152,124     	N/A	N/A	N/A	
Canada	4,944,196   	6,440       	58,972      	4,878,784   	66,572,774  	1,536       	1,734,189   	N/A	N/A	383         	
Cuba	1,115,251   	62          	8,530       	1,106,659   	14,402,486  	754         	1,273,919   	N/A	N/A	N/A	
Costa Rica	1,238,883   	N/A         	9,428       	N/A         	4,659,757   	1,819       	899,158     	N/A	N/A	N/A         	
Panama	1,059,893   	64          	8,727       	1,051,102   	7,882,622   	1,962       	1,772,585   	N/A	N/A	N/A	
India	45,034,136  	N/A         	533,547     	N/A         	935,879,495 	379         	665,334     	N/A	N/A	N/A         	
Turkey	17,232,066  	N/A         	102,174     	N/A         	162,743,369 	1,194       	1,902,052   	N/A	N/A	N/A         	
Iran	7,627,186   	N/A         	146,811     	N/A         	57,320,267  	1,707       	666,338     	N/A	N/A	N/A         	
Indonesia	6,829,162   	19,995      	162,063     	6,647,104   	114,158,919 	581         	408,975     	N/A	N/A	N/A	
Philippines	4,140,383   	6,138       	66,864      	4,067,381   	36,102,746  	594         	320,888     	N/A	N/A	N/A	
Japan	33,803,572  	N/A         	74,694      	N/A         	100,414,883 	595         	799,578     	N/A	N/A	N/A         	
Israel	4,841,772   	30,592      	12,707      	4,798,473   	41,373,364  	1,363       	4,436,346   	N/A	N/A	N/A	
Malaysia	5,278,406   	7,790       	37,348      	5,233,268   	68,580,916  	1,126       	2,066,869   	N/A	N/A	N/A	
Thailand	4,769,277   	42,060      	34,581      	4,692,636   	17,273,454  	493         	246,488     	N/A	N/A	N/A	
Vietnam	11,625,195  	941,018     	43,206      	10,640,971  	85,826,548  	437         	867,342     	N/A	N/A	N/A	
Iraq	2,465,545   	673         	25,375      	2,439,497   	19,544,451  	602         	463,523     	N/A	N/A	N/A	
Bangladesh	2,049,377   	N/A         	29,493      	N/A         	15,254,399  	176         	90,862      	N/A	N/A	N/A         	
Pakistan	1,581,936   	12,583      	30,664      	1,538,689   	30,589,153  	134         	133,292     	N/A	N/A	N/A	
Brazil	38,729,836  	1,769,426   	711,249     	36,249,161  	63,776,166  	3,303       	296,146     	N/A	N/A	N/A	
Argentina	10,128,845  	34,094      	130,841     	9,963,910   	35,716,069  	2,844       	776,264     	N/A	N/A	N/A	
Colombia	6,400,173   	44,821      	143,200     	6,212,152   	36,951,507  	2,780       	717,327     	N/A	N/A	N/A	
Peru	4,572,667   	0           	222,161     	4,350,506   	39,010,194  	6,595       	1,158,115   	N/A	N/A	N/A	
Chile	5,383,638   	66,691      	64,497      	5,252,450   	50,382,097  	3,350       	2,617,225   	N/A	N/A	N/A	
Bolivia	1,212,131   	12,579      	22,407      	1,177,145   	2,710,261   	1,868       	225,993     	N/A	N/A	N/A	
Uruguay	1,041,111   	2,503       	7,664       	1,030,944   	6,114,822   	2,192       	1,749,083   	N/A	N/A	N/A	
Paraguay	837,602     	N/A         	20,155      	N/A         	2,657,506   	2,759       	363,751     	N/A	N/A	N/A         	
Venezuela	552,695     	302         	5,856       	546,537     	3,359,014   	200         	114,771     	N/A	N/A	N/A	
South Africa	4,076,463   	61,362      	102,595     	3,912,506   	26,795,090  	1,689       	441,027     	N/A	N/A	N/A	
Morocco	1,278,992   	N/A         	16,303      	N/A         	13,001,033  	432         	344,191     	N/A	N/A	N/A         	
Tunisia	1,153,361   	N/A         	29,423      	N/A         	5,013,383   	2,442       	416,164     	N/A	N/A	N/A         	
